frame_idx,text,counter,crc_ok,comm_evm_db,sense_evm_db,sense_ber,cfo_hz,amp,ovf,direct_db,noise_floor_db,n_echoes,echoes_m,jcas_status,jcas_amp_hp_db,jcas_doppler_hp_hz,jcas_score,jcas_threshold,jcas_object_detected,habs_1,habs_2,habs_3,habs_4,habs_5,habs_6,habs_7,habs_8,habs_9,habs_10,habs_11,habs_12,habs_13,habs_14,habs_15,habs_16,habs_17,habs_18,habs_19,habs_20,habs_21,habs_22,habs_23,habs_24,habs_25,habs_39,habs_40,habs_41,habs_42,habs_43,habs_44,habs_45,habs_46,habs_47,habs_48,habs_49,habs_50,habs_51,habs_52,habs_53,habs_54,habs_55,habs_56,habs_57,habs_58,habs_59,habs_60,habs_61,habs_62,habs_63
1,STEI,100,1,-13.26,-11.89,0.0000,-3007,0.1800,0,-25.2,-52.8,0,,CLEAR,0.000,0.000,0.000,1.200,0,0.13947,0.15036,0.15052,0.14683,0.18567,0.16858,0.14457,0.13931,0.16512,0.13637,0.14377,0.12656,0.14087,0.12111,0.10601,0.09815,0.11551,0.09835,0.09398,0.08654,0.08580,0.08109,0.07308,0.04481,0.08313,0.14563,0.13139,0.13967,0.14919,0.15932,0.13660,0.13664,0.15312,0.14473,0.13236,0.13064,0.14501,0.12984,0.14984,0.14084,0.12536,0.12314,0.16491,0.14052,0.16804,0.14617,0.14526,0.13926,0.15941,0.13222
2,STEI,101,1,-12.60,-11.41,0.0000,-1010,0.1619,0,-25.2,-51.1,0,,CLEAR,-0.919,4452.757,2226.383,1.200,0,0.15428,0.13399,0.16826,0.15646,0.16241,0.16693,0.15803,0.15658,0.15847,0.15445,0.12859,0.12645,0.13891,0.10920,0.11770,0.08650,0.12446,0.09075,0.09139,0.06958,0.09543,0.07998,0.06071,0.04450,0.07982,0.14342,0.12178,0.14217,0.15258,0.15091,0.13943,0.13703,0.14786,0.15177,0.14404,0.12499,0.13816,0.13831,0.14605,0.12343,0.16377,0.14895,0.12726,0.13804,0.17715,0.15465,0.17200,0.12511,0.15714,0.12509
3,STEI,102,1,-14.13,-11.56,0.0000,-832,0.1454,0,-25.3,-51.4,0,,CLEAR,-1.392,5014.568,2507.293,1.200,0,0.16682,0.16244,0.15584,0.15387,0.17562,0.16483,0.15314,0.13529,0.15075,0.14605,0.12330,0.11729,0.13211,0.12198,0.11875,0.10184,0.10059,0.09761,0.10140,0.06847,0.08915,0.06598,0.05813,0.05603,0.07860,0.13959,0.12974,0.13964,0.15501,0.14263,0.15800,0.14353,0.15718,0.15191,0.13754,0.12210,0.15118,0.14143,0.13747,0.13088,0.14529,0.13409,0.14876,0.13121,0.14762,0.14449,0.16189,0.14415,0.14846,0.12819
4,STEI,103,1,-11.83,-11.08,0.0000,-7671,0.1380,0,-25.5,-51.1,0,,CLEAR,-1.388,-11665.209,5832.609,1.200,0,0.16108,0.15177,0.14841,0.15359,0.15065,0.15053,0.14960,0.14369,0.14872,0.13020,0.13008,0.10990,0.13192,0.11862,0.10770,0.10201,0.11138,0.08542,0.07720,0.06950,0.08610,0.06982,0.05750,0.06120,0.06626,0.14526,0.13148,0.12674,0.15551,0.14206,0.14434,0.13736,0.15526,0.12746,0.14123,0.12173,0.14467,0.14832,0.14473,0.12388,0.16598,0.13428,0.15870,0.13138,0.15320,0.13209,0.16066,0.11680,0.15796,0.13005
5,STEI,104,1,-13.13,-10.73,0.0000,-2312,0.1282,0,-25.4,-52.6,0,,CLEAR,-1.565,2931.301,1465.671,1.200,0,0.15073,0.15765,0.16049,0.14686,0.14446,0.16802,0.15976,0.16023,0.14557,0.14605,0.12477,0.12842,0.13882,0.11209,0.10619,0.09592,0.11689,0.07546,0.07145,0.06773,0.09895,0.07583,0.05542,0.04537,0.07189,0.14175,0.14386,0.14326,0.14926,0.14428,0.14569,0.13935,0.14734,0.15660,0.14867,0.14136,0.14002,0.15258,0.13514,0.11989,0.13842,0.12841,0.13309,0.14040,0.14187,0.14830,0.15022,0.13388,0.17359,0.13643
6,STEI,105,1,-10.48,-10.26,0.0000,-15608,0.1241,0,-25.6,-51.8,0,,CLEAR,-1.374,-10536.614,2.736,1.200,0,0.12884,0.14258,0.14882,0.14310,0.15564,0.16670,0.17380,0.14555,0.17350,0.13944,0.12896,0.10436,0.14275,0.10710,0.12615,0.09355,0.10871,0.09942,0.09674,0.06972,0.09647,0.08180,0.06340,0.04601,0.07339,0.12667,0.13262,0.12918,0.15743,0.14254,0.14012,0.12709,0.15075,0.14380,0.14441,0.11882,0.15468,0.11522,0.15136,0.10400,0.15070,0.12160,0.14714,0.11966,0.15927,0.13524,0.16225,0.11085,0.15351,0.13700
7,STEI,106,1,-13.28,-12.34,0.0000,2725,0.1201,0,-25.2,-52.0,0,,CLEAR,-1.438,-422.032,0.964,1.200,0,0.14931,0.14903,0.14753,0.15738,0.16020,0.17088,0.15617,0.14565,0.15820,0.14710,0.12571,0.11759,0.13698,0.12840,0.10363,0.09906,0.12209,0.10393,0.10780,0.06112,0.08493,0.07554,0.06210,0.05826,0.07243,0.14032,0.13867,0.13705,0.15779,0.15887,0.14670,0.14934,0.15656,0.16495,0.13245,0.14119,0.14019,0.15336,0.14332,0.15202,0.15059,0.13767,0.15181,0.14615,0.15866,0.13067,0.16011,0.13759,0.16639,0.12864
8,STEI,107,1,-11.79,-10.90,0.0000,-10931,0.1169,0,-25.3,-52.5,0,,CLEAR,-1.439,-7653.751,1.867,1.200,0,0.14142,0.14866,0.15811,0.14844,0.15789,0.15111,0.17687,0.14796,0.16217,0.13040,0.14248,0.11503,0.12955,0.12513,0.12267,0.10484,0.12673,0.09283,0.10107,0.07419,0.10769,0.08653,0.07300,0.04441,0.06887,0.13534,0.13926,0.12604,0.16419,0.14717,0.14317,0.12586,0.15975,0.14565,0.15192,0.11589,0.15481,0.12037,0.14165,0.13464,0.15800,0.12695,0.15376,0.13194,0.15590,0.13655,0.16710,0.13105,0.17091,0.11963
9,STEI,108,1,-13.79,-11.98,0.0000,-609,0.1153,0,-25.3,-51.3,0,,CLEAR,-1.241,3907.055,1.122,1.200,0,0.16294,0.15845,0.13385,0.15276,0.15401,0.14878,0.16903,0.15107,0.15982,0.14868,0.14170,0.12495,0.13468,0.12660,0.10398,0.09656,0.11243,0.10592,0.08346,0.06001,0.06791,0.08217,0.07221,0.05692,0.07594,0.14642,0.13709,0.13940,0.15232,0.14599,0.14924,0.13779,0.15285,0.14524,0.12523,0.12321,0.14586,0.14128,0.14390,0.12795,0.14352,0.15538,0.15339,0.12100,0.16484,0.14342,0.15404,0.12850,0.14937,0.14775
10,STEI,109,1,-12.53,-10.52,0.0000,-10176,0.1137,0,-25.7,-52.3,0,,CLEAR,-1.043,-7942.905,1.825,1.200,0,0.15200,0.14216,0.14074,0.14380,0.14739,0.15052,0.15496,0.13909,0.14558,0.13892,0.11391,0.10949,0.12144,0.10989,0.12186,0.08766,0.10844,0.07111,0.08828,0.07275,0.08060,0.06847,0.07164,0.04668,0.07394,0.14587,0.13889,0.12216,0.14998,0.14764,0.12575,0.13580,0.13351,0.13709,0.13168,0.12169,0.13516,0.13123,0.13542,0.12159,0.14162,0.14979,0.14080,0.12014,0.14966,0.14290,0.14825,0.12156,0.15402,0.13515
