frame_idx,text,counter,crc_ok,comm_evm_db,sense_evm_db,sense_ber,cfo_hz,amp,ovf,direct_db,noise_floor_db,n_echoes,echoes_m,jcas_status,jcas_amp_hp_db,jcas_doppler_hp_hz,jcas_score,jcas_threshold,jcas_object_detected,habs_1,habs_2,habs_3,habs_4,habs_5,habs_6,habs_7,habs_8,habs_9,habs_10,habs_11,habs_12,habs_13,habs_14,habs_15,habs_16,habs_17,habs_18,habs_19,habs_20,habs_21,habs_22,habs_23,habs_24,habs_25,habs_39,habs_40,habs_41,habs_42,habs_43,habs_44,habs_45,habs_46,habs_47,habs_48,habs_49,habs_50,habs_51,habs_52,habs_53,habs_54,habs_55,habs_56,habs_57,habs_58,habs_59,habs_60,habs_61,habs_62,habs_63
1,STEI,201,1,-15.11,-13.75,0.0000,3381,0.2055,0,-25.0,-52.1,0,,CLEAR,0.000,0.000,0.000,1.200,0,0.16418,0.15310,0.14940,0.17374,0.16570,0.15908,0.17471,0.15744,0.15104,0.15684,0.13466,0.13562,0.11653,0.11825,0.12721,0.11300,0.12843,0.09034,0.08446,0.08667,0.09206,0.08288,0.08084,0.05674,0.07447,0.15452,0.14313,0.15092,0.14921,0.13685,0.14871,0.15554,0.15398,0.13967,0.14815,0.14248,0.14006,0.13045,0.13453,0.13527,0.15827,0.13590,0.15406,0.13866,0.16803,0.14423,0.15303,0.14822,0.15960,0.13703
2,STEI,202,1,-13.84,-13.31,0.0000,-6888,0.1770,0,-25.0,-52.1,0,,CLEAR,-1.299,-6210.778,3105.396,1.200,0,0.16233,0.16982,0.14184,0.14587,0.15228,0.16323,0.17158,0.14824,0.16499,0.14835,0.14824,0.12041,0.14075,0.14437,0.12766,0.11273,0.11828,0.11040,0.10742,0.09644,0.09381,0.07492,0.07868,0.06125,0.06850,0.13844,0.14240,0.15083,0.16109,0.14867,0.14225,0.12446,0.15261,0.13028,0.14419,0.13109,0.14886,0.13446,0.14056,0.13720,0.15513,0.14707,0.15440,0.13814,0.16871,0.15178,0.14740,0.15309,0.16273,0.14268
3,STEI,203,1,-14.63,-12.65,0.0000,-2991,0.1584,0,-25.2,-52.3,0,,CLEAR,-1.614,9018.785,4509.400,1.200,0,0.14351,0.15394,0.15731,0.14230,0.16439,0.14783,0.16617,0.13079,0.16239,0.14829,0.14728,0.10245,0.14373,0.10686,0.12457,0.10117,0.11050,0.10510,0.11397,0.07708,0.10420,0.06859,0.08791,0.06484,0.06996,0.13144,0.13712,0.14960,0.15377,0.15299,0.14142,0.12976,0.15838,0.13903,0.14872,0.12400,0.14500,0.12461,0.13564,0.11809,0.14830,0.14153,0.14853,0.14552,0.16995,0.14994,0.15992,0.14793,0.16696,0.13130
4,STEI,204,1,-13.64,-13.94,0.0000,3549,0.1454,0,-25.3,-53.3,0,,CLEAR,-1.709,4782.875,2391.453,1.200,0,0.13841,0.14275,0.15396,0.15801,0.15035,0.16243,0.15864,0.15685,0.14757,0.13903,0.12668,0.12510,0.13785,0.12076,0.10816,0.12833,0.11802,0.10512,0.09020,0.08540,0.08469,0.08011,0.07809,0.06427,0.08026,0.15194,0.13466,0.15127,0.15329,0.16761,0.13844,0.16153,0.15031,0.15811,0.14902,0.13369,0.13260,0.13692,0.14160,0.13876,0.13459,0.13189,0.14987,0.15693,0.14594,0.13754,0.14523,0.13491,0.15982,0.13137
5,STEI,205,1,-12.37,-12.31,0.0000,-5782,0.1345,0,-25.5,-51.8,0,,CLEAR,-1.902,-8656.497,4328.259,1.200,0,0.13289,0.15176,0.14439,0.14280,0.14505,0.15807,0.15074,0.16268,0.14780,0.14723,0.14286,0.11790,0.13943,0.11210,0.12269,0.10111,0.12497,0.09708,0.10345,0.08212,0.08912,0.06534,0.06844,0.06362,0.06511,0.14810,0.13228,0.14211,0.15293,0.14876,0.14240,0.13485,0.14442,0.14855,0.12720,0.12879,0.13173,0.12731,0.13175,0.14017,0.14160,0.13370,0.12796,0.14418,0.15751,0.13044,0.16912,0.13809,0.16513,0.12210
6,STEI,206,1,-14.07,-13.53,0.0000,-288,0.1284,0,-25.3,-52.6,0,,CLEAR,-1.818,5129.594,1.399,1.200,0,0.14868,0.15555,0.14973,0.14816,0.15635,0.15899,0.14861,0.13827,0.16159,0.14149,0.14847,0.12068,0.13454,0.11951,0.11806,0.09853,0.11509,0.08999,0.08868,0.08402,0.10493,0.09463,0.07438,0.05541,0.07609,0.14561,0.15496,0.12987,0.13654,0.15564,0.14710,0.13384,0.14252,0.13507,0.14175,0.13886,0.14362,0.15320,0.14917,0.12506,0.14756,0.12798,0.15021,0.13448,0.17280,0.13201,0.15911,0.14327,0.15845,0.13008
7,STEI,207,1,-14.35,-13.07,0.0000,-2898,0.1222,0,-25.2,-52.0,0,,CLEAR,-1.879,5851.028,1.649,1.200,0,0.15218,0.14837,0.14387,0.16835,0.15910,0.16712,0.16057,0.14649,0.16069,0.13346,0.15545,0.12024,0.14545,0.11586,0.12522,0.10928,0.12106,0.08267,0.10737,0.08193,0.10502,0.06750,0.07076,0.06290,0.07630,0.14593,0.13308,0.13880,0.15452,0.14046,0.14087,0.14250,0.15934,0.13967,0.12165,0.13735,0.15966,0.12806,0.14027,0.12543,0.15556,0.13464,0.16131,0.14285,0.14483,0.15018,0.16504,0.13000,0.15230,0.12534
8,STEI,208,1,-13.87,-12.88,0.0000,-7212,0.1190,0,-25.2,-52.3,0,,CLEAR,-1.737,-12884.064,2.738,1.200,0,0.14981,0.15487,0.14624,0.15543,0.15988,0.14482,0.16354,0.14825,0.14877,0.15414,0.15301,0.12266,0.13022,0.11116,0.13004,0.11379,0.13087,0.09950,0.11076,0.08617,0.09461,0.07850,0.08021,0.05310,0.06588,0.14065,0.14162,0.13547,0.15519,0.16543,0.14313,0.13975,0.15473,0.12905,0.14672,0.12287,0.14654,0.13354,0.14901,0.13751,0.17433,0.13064,0.16988,0.12786,0.16139,0.13999,0.15395,0.12303,0.16588,0.14194
9,STEI,209,1,-13.68,-14.29,0.0000,343,0.1160,0,-25.2,-51.7,0,,CLEAR,-1.625,2340.207,1.031,1.200,0,0.14992,0.13486,0.14765,0.16199,0.15396,0.16744,0.14797,0.15725,0.15392,0.14654,0.13533,0.13238,0.14460,0.12099,0.12590,0.10942,0.12033,0.09804,0.10805,0.09237,0.09802,0.08013,0.07026,0.06325,0.07977,0.15955,0.13634,0.13996,0.16338,0.14557,0.14297,0.14987,0.15358,0.14425,0.13141,0.14433,0.13668,0.15944,0.15047,0.13110,0.15023,0.14852,0.15184,0.14385,0.14594,0.15337,0.16017,0.12863,0.16669,0.13648
10,STEI,210,1,-14.84,-13.59,0.0000,2780,0.1141,0,-25.3,-52.3,0,,CLEAR,-1.426,2024.659,0.986,1.200,0,0.14640,0.15942,0.15079,0.15626,0.17414,0.15408,0.14017,0.15820,0.13688,0.14403,0.13995,0.12463,0.13270,0.13051,0.10561,0.09456,0.11002,0.10207,0.09306,0.08722,0.08667,0.07518,0.07661,0.06835,0.07757,0.16370,0.12973,0.13446,0.14628,0.15987,0.14167,0.15019,0.15363,0.15765,0.13036,0.12590,0.13444,0.11873,0.14466,0.13652,0.15178,0.13915,0.15705,0.14873,0.15375,0.14903,0.14790,0.14994,0.14952,0.12913
